Mispelling,suggestion
apprentiship,apprenticeship
apirl,april
autin,austin
babys,baby
beryil,beryl
bicyle,bicycle
farrari,ferrari
fance,france
itlay,italy
jluy,july
londod,london
marrid,married
pollce,police
royl,royal
slaughthouse,slaughterhouse
stanlay,stanley
stranden,stranded
thinkng,thinking
triumh,triumph
watston,watson
wh't,what
agan,again
agian,again
amblance,ambulance
amusments,amusements
any_on,anyone
anythink,anything
arsking,asking
atack,attack
autunm,autumn
babby,baby
barscket,basket
basckek,basket
baskek,basket
beaufiful,beautiful
behism,behind
beter,better
bewere,beware
bigest,biggest
biccuits,biscuits
bred_crumes,breadcrumbs
borther,brother
brough,brought
buld,build
bulet,bullet
carn't,can't
can_not,cannot
connot,cannot
captian,captain
captman,captain
catptman,captain
carrer,career
carful,careful
carred,carried
carring,carrying
caugh,caught
choin,chain
characte,character
chidren,children
cherped,chirped
christman,christmas
cinma,cinema
clob,club
colur,colour
comeing,coming
comon,common
croner,corner
couldnt,couldn't
crepy,creepy
cerled,curled
deat,death
departent,department
depatment,department
disel,diesel
dowing,doing
doudle,double
donw,down
drem,dream
dreming,dreaming
elecenician,electrician
eles,else
enaged,engaged
ingaged,engaged
enagement,engagement
a_nougth,enough
engouh,enough
evining,evening
expore,explore
ferrary,ferrari
figth,fight
figthing,fighting
fianl,final
fsh,fish
fellowed,followed
freinds,friends
frount,front
ful,full
funerl,funeral
carage,garage
gying,going
groon,grown
hemmsering,hammering
happends,happens
heared,heard
hertbreake,heartbreak
he_slef,herself
his_self,himself
hime,home
hom,home
homse,home
horrieyfide,horrified
house_braking,housebreaking
indiscrest,indiscreet
injeck,inject
instace,instance
introducted,introduced
goin,join
juiciy,juicy
geep,keep
kichen,kitchen
kitchin,kitchen
kniffe,knife
ladys,lady
larg,large
latley,lately
lauging,laughing
lik,like
listern,listen
litte,little
lod,old
lovyley,lovely
marreid,married
marryid,married
marshladn,marshland
meadoy,meadow
midsummer's,midsummer
migth,might
miss_fireing,misfiring
moning,morning
morring,morning
morther,mother
moues,mouse
my_shelf,myself
nearst,nearest
nealy,nearly
nerly,nearly
neve,never
orphaed,orphaned
overy,over
paralised,paralysed
prarents,parents
parth_way,pathway
peolpe,people
pople,people
peason,person
phto,photo
picted,picked
piked,picked
pictyres,pictures
pitures,pictures
poilice,police
policman,policeman
polce_men,policemen
police_men,policemen
potates,potatoes
pregant,pregnant
prettest,prettiest
preety,pretty
probally,probably
prouls,prowls
puntuation,punctuation
pht,put
quiert,quiet
quitely,quietly
replid,replied
reveirse,reverse
recher,richer
rigth,right
raod,road
rougth,rough
rownd,round
safaly,safely
sald,said
seid,said
siad,said
seach,search
semed,seemed
senour,senor
sexul,sexual
shap,shop
shoold,should
shoud,should
shufarling,shuffling
side_car,sidecar
side_care,sidecar
slolly,slowly
somes,some
some_on,someone
somethick,something
somethink,something
sonner,sooner
spicil,special
spiy,spy
squar,square
staning,standing
stastione,station
stepe,step
sory,story
staidght,straight
stright,straight
strow,straw
sterret,street
suddenel,suddenly
tackon,taken
tallk,talk
telphoned,telephoned
theat,that
th,the
theer,their
thoese,these
tinking,thinking
thruogth,through
to_nigth,tonight
tonigth,tonight
trator,tractor
troefle,trouble
truble,trouble
unlce,uncle
unispected,unexpected
veracular,vernacular
wos,was
wacth,watch
watcheing,watching
weping,weeping
wetn,went
wha't,what
whate,what
whot,what
wippd,wiped
wiht,with
yers,years
yeth,yet
yourns,yours
yourseff,yourself
