Mispelling,Suggestion
bos,boss
hed,head
facttoer,factory
fiyer,fire
im,him
ive,i've
janes,jane's
jone,joan
joneses,jones's
led,lead
marry,mary
paulkey,porky
smocking,smoking
tv,tv
thats,that's
alife,alive
alloud,allowed
almity,almighty
eney,any
babyes,babies
bakh,back
bend_in,bending
bodys,bodies
borrowd,borrowed
brecfast,breakfast
brakes,breaks
breez,breeze
brocken,broken
brusls,brussels
bubbals,bubbles
billd,build
billed,build
billding,building
bilt,built
cald,called
calld,called
carmd,calmed
carefull,careful
cought,caught
chere,chair
childrenes,children's
sercus,circus
classis,classes
cleand,cleaned
clime,climb
cote,coat
kumh,come
comvatable,comfortable
corral,coral
counsall,council
counsel,council
coverd,covered
creaps,creeps
creeped,crept
cresp,crisp
croud,crowd
cobard,cupboard
disided,decided
dence,dense
distrod,destroyed
dednt,didn't
didden,didn't
dident,didn't
dich,ditch
does'nt,doesn't
dun,done
dor,door
drivern,driven
dround,drowned
dieing,dying
eate,eat
injoid,enjoyed
a_nuff,enough
enterd,entered
evry,every
iyes,eyes
familys,families
falt,fault
feal,feel
finse,fins
fiar,fire
fishey,fishy
flor,floor
footandmouth,foot-and-mouth
four,for
fur,for
gait,gate
grabed,grabbed
grandpas,grandpa's
grait,great
hapend,happened
happend,happened
havn't,haven't
heep,heap
herd,heard
hart,heart
hear,here
hert,hurt
hudge,hutch
high_drollit,hydraulic
injurys,injuries
intercors,intercourse
isant,isn't
kees,keys
killd,killed
knokt,knocked
know,no
lam,lamb
leve,leave
leavs,leaves
loades,loads
lorry's,lorries
loos,lose
mayd,made
mane,main
manh,man
middal,middle
mite,might
mist,missed
mouthr,mother
nere,near
nerer,nearer
nedent,needn't
needent,needn't
nabour,neighbour
ninty,ninety
nore,nor
opend,opened
hour,our
outdrak,outbreak
payed,paid
pirls,pearls
peope,peep
pleas,please
ploud,ploughed
poney,pony
privait,private
proceded,proceeded
quere,queer
realy,really
reley,really
registery,registry
replie,reply
rorse,roars
rouns,rounds
rumer,rumour
sed,said
saled,sailed
sine_post,signpost
sneking,sneaking
soape,soap
sope,soap
soled,sold
sum,some
son,sun
suvenere,souvenir
squick,squeak
starte,start
stayd,stayed
stowl,stole
stolon,stolen
stormes,storms
strate,straight
strogald,struggled
surtebull,suitable
sunck,sunk
sopose,suppose
thire,their
therell,there'll
thif,thief
theves,thieves
tung,tongue
tern,turn
an_cafferd,uncovered
apone,upon
whating,waiting
whont,want
wonted,wanted
wach,watch
wavey,wavy
waying,weighing
wen,when
whent,went
wher,were
wern't,weren't
whernt,weren't
weel,wheel
witch,which
wiscell,whistle
wisheld,whistled
who_evers,whoever's
we'll,will
womon,woman
wunder,wonder
worme,worm
worye,worry
rong,wrong
roat,wrote
yanky,yankee
yew,you
yor,your
your_sleve,yourself
