Mispelling,Suggestion
presbyterian,presbyterian
susan,susan
abilitey,ability
absorbtion,absorption
acommadate,accommodate
acord,accord
aquantance,acquaintance
adultry,adultery
aggresive,aggressive
alchohol,alcohol
alchoholic,alcoholic
anotomy,anatomy
annoint,anoint
anynomous,anonymous
appreceiated,appreciated
atentively,attentively
batallion,battalion
beggining,beginning
beleive,believe
brocolli,broccoli
buracracy,bureaucracy
cauler,caller
cemetary,cemetery
changeing,changing
circumstaces,circumstances
columne,column
comitmment,commitment
commited,committed
commitee,committee
congradulations,congratulations
ctitique,critique
crucifiction,crucifixion
dependeble,dependable
dispair,despair
distroy,destroy
developement,development
dinasaur,dinosaur
dinasour,dinosaur
disippate,dissipate
devulge,divulge
doenload,download
effots,efforts
encyclapidia,encyclopedia
enhence,enhance
ennuui,ennui
epitomy,epitome
excede,exceed
excpt,except
exhileration,exhilaration
egsistence,existence
exspidient,expedient
phantasia,fantasia
famdasy,fantasy
fistival,festival
flatterring,flattering
gobernement,government
gobernment,government
gracefull,graceful
gradualy,gradually
grammer,grammar
hapily,happily
herlo,hello
heellp,help
hellp,help
hippopotamous,hippopotamus
houssing,housing
howaver,however
humaniti,humanity
imediaetly,immediately
inadvertant,inadvertent
incompleet,incomplete
incomplot,incomplete
inefficite,inefficient
imfamy,infamy
influencial,influential
inital,initial
insistant,insistent
intelegent,intelligent
inteligent,intelligent
intellagant,intelligent
intellegent,intelligent
intellegint,intelligent
inerface,interface
interpretter,interpreter
enventions,inventions
irresistable,irresistible
irritible,irritable
johhn,john
lesure,leisure
maddness,madness
maintanence,maintenance
pataphysical,metaphysical
mischievious,mischievous
necesary,necessary
noticably,noticeably
occusionaly,occasionally
octagenarian,octogenarian
oscilascope,oscilloscope
phenominal,phenomenal
pollice,police
poligamy,polygamy
polypropalene,polypropylene
possable,possible
preceeding,preceding
perogative,prerogative
privielage,privilege
proplematic,problematic
proceedures,procedures
pronensiation,pronunciation
pronounciation,pronunciation
persue,pursue
quoz,quiz
radious,radius
recieve,receive
reccomend,recommend
irregardless,regardless
repitition,repetition
reseblence,resemblance
runnung,running
sacreligious,sacrilegious
satifly,satisfy
segements,segments
seferal,several
cimplicity,simplicity
spel,spell
sponsered,sponsored
stumach,stomach
stutent,student
subpena,subpoena
subjecribed,subscribed
supercede,supersede
swim_wear,swimwear
tesst,test
ttest,test
titalate,titillate
tomorow,tomorrow
tyrrany,tyranny
unnaturral,unnatural
upmost,utmost
volumptuous,voluptuous
warloord,warlord
wierd,weird
yeild,yield
